Date,Open,High,Low,Close,Adj Close,Volume
2017-08-29,243.059998,245.149994,242.929993,244.850006,243.640884,51135700
2017-08-30,244.830002,246.320007,244.619995,246.009995,244.795135,62030800
2017-08-31,246.720001,247.770004,246.050003,247.490005,246.267838,103803900
2017-09-01,247.919998,248.330002,247.669998,247.839996,246.616104,62007000
2017-09-05,247.259995,247.520004,244.949997,246.059998,244.844894,91398800
2017-09-06,246.839996,247.279999,246.229996,246.899994,245.680740,57916900
2017-09-07,247.250000,247.270004,246.399994,246.869995,245.650894,58034700
2017-09-08,246.539993,247.110001,246.300003,246.580002,245.362335,63832800
2017-09-11,248.039993,249.300003,248.020004,249.210007,247.979340,71364800
2017-09-12,249.630005,250.089996,249.419998,250.050003,248.815201,56896000
2017-09-13,249.720001,250.210007,249.589996,250.169998,248.934601,59228000
2017-09-14,249.800003,250.320007,249.600006,250.089996,248.854996,95446300
2017-09-15,248.690002,249.289993,248.570007,249.190002,249.190002,95432400
2017-09-18,249.610001,250.119995,249.279999,249.720001,249.720001,46235200
2017-09-19,250.000000,250.070007,249.600006,249.970001,249.970001,47108100
2017-09-20,250.070007,250.190002,248.919998,250.059998,250.059998,59574100
2017-09-21,249.880005,249.979996,249.190002,249.389999,249.389999,48211400
2017-09-22,249.050003,249.630005,249.020004,249.440002,249.440002,51214000
2017-09-25,249.149994,249.550003,248.080002,248.929993,248.929993,57064400
2017-09-26,249.419998,249.699997,248.809998,249.080002,249.080002,54082000
2017-09-27,249.880005,250.490005,248.869995,250.050003,250.050003,81001400
2017-09-28,249.729996,250.440002,249.630005,250.350006,250.350006,43324300
